16_wpf_data_ID1_3_[(300, 288)]_hs32_nl2_zs64_ssam50_zsam50_bf50_ep700_lr0.001_dr0.01_sf0.0002
16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.14484247259763552,mae:0.2976197582801837,mape:138.42831573427782

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.1558404322680195,mae:0.3101557645744818,mape:139.27550065006136

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.1511377315152641,mae:0.3083613137186056,mape:150.44539960857983

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf1_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.19675970660192704,mae:0.3218299208812763,mape:218.06460180942605

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf1_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.14991644985164462,mae:0.28928564957596936,mape:235.67733986604185

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf1_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.19340818247046848,mae:0.3169975561522425,mape:218.81380874490634

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf1_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.19220076315794757,mae:0.3145209630719629,mape:209.26730956738967

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.2612415826038883,mae:0.3680273669813838,mape:269.2441281293451

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.26619680075158786,mae:0.3689572879209316,mape:285.920380286677

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.28421050671590076,mae:0.3884203604275848,mape:292.43609195561953

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.2717028044868545,mae:0.37397285001874137,mape:286.65599873375004

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.2835427931077012,mae:0.375184689522342,mape:277.2811714712318

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf1000_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.23799238614480694,mae:0.3605692236749566,mape:166.11394452574365

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf1000_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.137179574587777,mae:0.28751839754801933,mape:167.17412473799448

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf1000_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.1242095255801754,mae:0.27843946963849414,mape:151.07450473162396

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf1000_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.12126902291754231,mae:0.2725452851587899,mape:159.63905434264774

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf1000_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.1283567651039073,mae:0.2813378400923146,mape:147.64420231094476

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf1000_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.12990932495247617,mae:0.28085994374898454,mape:153.26603539901208

